book_id,isbn,authors,original_publication_year,title,language_code,image_url
65,385333846,Kurt Vonnegut Jr.,1969,Slaughterhouse-Five,eng,https://images.gr-assets.com/books/1440319389m/4981.jpg
66,446675539,Margaret Mitchell,1936,Gone with the Wind,eng,https://images.gr-assets.com/books/1328025229m/18405.jpg
67,1594489505,Khaled Hosseini,2007,A Thousand Splendid Suns,eng,https://images.gr-assets.com/books/1345958969m/128029.jpg
68,671027344,Stephen Chbosky,1999,The Perks of Being a Wallflower,eng,https://images.gr-assets.com/books/1167352178m/22628.jpg
69,7442912,Veronica Roth,2012,"Insurgent (Divergent, Number 2)",eng,https://images.gr-assets.com/books/1325667729m/11735983.jpg
70,812550706,Orson Scott Card,1985,"Ender's Game (Ender's Saga, Number 1)",eng,https://images.gr-assets.com/books/1408303130m/375802.jpg
71,141439475,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,Frankenstein,eng,https://images.gr-assets.com/books/1381512375m/18490.jpg
72,450040186,Stephen King,1977,The Shining (The Shining Number 1),eng,https://images.gr-assets.com/books/1353277730m/11588.jpg
73,316068047,Stephenie Meyer,2008,"The Host (The Host, Number 1)",en-US,https://images.gr-assets.com/books/1318009171m/1656001.jpg
74,142402516,John Green,2005,Looking for Alaska,eng,https://images.gr-assets.com/books/1394798630m/99561.jpg
75,014028009X,Helen Fielding,1996,"Bridget Jones's Diary (Bridget Jones, Number 1)",eng,https://images.gr-assets.com/books/1292060045m/227443.jpg
76,141439661,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,eng,https://images.gr-assets.com/books/1397245675m/14935.jpg
77,439244196,"Louis Sachar, Louis Sachar",1998,"Holes (Holes, Number 1)",eng,https://images.gr-assets.com/books/1327781893m/38709.jpg
78,307275558,Lauren Weisberger,2003,"The Devil Wears Prada (The Devil Wears Prada, Number 1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
79,143039954,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,The Odyssey,eng,https://images.gr-assets.com/books/1390173285m/1381.jpg
80,156012197,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,The Little Prince,eng,https://images.gr-assets.com/books/1367545443m/157993.jpg
81,074324754X,Jeannette Walls,2005,The Glass Castle,eng,https://images.gr-assets.com/books/1400930557m/7445.jpg
82,385486804,Jon Krakauer,1996,Into the Wild,eng,https://images.gr-assets.com/books/1403173986m/1845.jpg
83,141439602,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,eng,https://images.gr-assets.com/books/1344922523m/1953.jpg
84,030734813X,Michael Crichton,1990,"Jurassic Park (Jurassic Park, Number 1)",spa,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
85,60256656,Shel Silverstein,1964,The Giving Tree,eng,https://images.gr-assets.com/books/1174210942m/370493.jpg
86,385338600,John Grisham,1989,A Time to Kill,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
87,374500010,"Elie Wiesel, Marion Wiesel",1958,Night (The Night Trilogy Number 1),eng,https://images.gr-assets.com/books/1473495285m/1617.jpg
88,014241493X,John Green,2008,Paper Towns,en-US,https://images.gr-assets.com/books/1349013610m/6442769.jpg
89,345418263,William Goldman,1973,The Princess Bride,en-US,https://images.gr-assets.com/books/1327903636m/21787.jpg
90,014038572X,S.E. Hinton,1967,The Outsiders,en-US,https://images.gr-assets.com/books/1442129426m/231804.jpg
91,385737947,James Dashner,2009,"The Maze Runner (Maze Runner, Number 1)",eng,https://images.gr-assets.com/books/1375596592m/6186357.jpg
92,61234001,"Steven D. Levitt, Stephen J. Dubner",2005,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, Number 1)",en-US,https://images.gr-assets.com/books/1327909092m/1202.jpg
93,517189607,Frances Hodgson Burnett,1911,The Secret Garden,eng,https://images.gr-assets.com/books/1327873635m/2998.jpg
94,60531045,"Gabriel García Márquez, Gregory Rabassa",1967,One Hundred Years of Solitude,eng,https://images.gr-assets.com/books/1327881361m/320.jpg
95,375751513,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,eng,https://images.gr-assets.com/books/1424596966m/5297.jpg
96,345803507,E.L. James,2012,"Fifty Shades Freed (Fifty Shades, Number 3)",eng,https://images.gr-assets.com/books/1336418837m/13536860.jpg
97,393970124,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,eng,https://images.gr-assets.com/books/1387151694m/17245.jpg
98,307269981,"Stieg Larsson, Reg Keeland",2006,"The Girl Who Played with Fire (Millennium, Number 2)",eng,https://images.gr-assets.com/books/1351778881m/5060378.jpg
99,1612130585,E.L. James,2011,"Fifty Shades Darker (Fifty Shades, Number 2)",eng,https://images.gr-assets.com/books/1358266080m/11857408.jpg
100,60786507,Barbara Kingsolver,1998,The Poisonwood Bible,eng,https://images.gr-assets.com/books/1412242487m/7244.jpg
101,349113912,David Sedaris,2000,Me Talk Pretty One Day,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
102,99408392,Maurice Sendak,1963,Where the Wild Things Are,eng,https://images.gr-assets.com/books/1384434560m/19543.jpg
103,140449264,"Alexandre Dumas, Robin Buss",1844,The Count of Monte Cristo,eng,https://images.gr-assets.com/books/1309203605m/7126.jpg
104,307265439,Cormac McCarthy,2006,The Road,eng,https://images.gr-assets.com/books/1439197219m/6288.jpg
105,7524277,Veronica Roth,2013,"Allegiant (Divergent, Number 3)",eng,https://images.gr-assets.com/books/1395582745m/18710190.jpg
106,,Tina Fey,2011,Bossypants,eng,https://images.gr-assets.com/books/1481509554m/9418327.jpg
107,446693804,Nicholas Sparks,1999,A Walk to Remember,en-US,https://images.gr-assets.com/books/1385738968m/3473.jpg
108,440241413,Sophie Kinsella,2000,"Confessions of a Shopaholic (Shopaholic, Number 1)",eng,https://images.gr-assets.com/books/1327872404m/9416.jpg
109,451525264,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,eng,https://images.gr-assets.com/books/1411852091m/24280.jpg
110,553381695,George R.R. Martin,1998,"A Clash of Kings  (A Song of Ice and Fire, Number 2)",eng,https://images.gr-assets.com/books/1358254974m/10572.jpg
111,143037145,Kim Edwards,2005,The Memory Keeper's Daughter,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
112,670026603,Jojo Moyes,2012,"Me Before You (Me Before You, Number 1)",eng,https://images.gr-assets.com/books/1357108762m/15507958.jpg
113,684833395,Joseph Heller,1961,Catch-22,en-US,https://images.gr-assets.com/books/1463157317m/168668.jpg
114,751529818,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,eng,https://images.gr-assets.com/books/1423763749m/6900.jpg
115,312422156,Jeffrey Eugenides,2002,Middlesex,en-US,https://images.gr-assets.com/books/1437029776m/2187.jpg
116,143039563,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,eng,https://images.gr-assets.com/books/1404811979m/24583.jpg
117,440498058,Madeleine L'Engle,1962,"A Wrinkle in Time (A Wrinkle in Time Quintet, Number 1)",en-US,https://images.gr-assets.com/books/1329061522m/18131.jpg
118,143038095,Amy Tan,1989,The Joy Luck Club,eng,https://images.gr-assets.com/books/1304978653m/7763.jpg
119,038549081X,Margaret Atwood,1985,The Handmaid's Tale,eng,https://images.gr-assets.com/books/1498057733m/38447.jpg
120,385729332,Ann Brashares,2001,"The Sisterhood of the Traveling Pants (Sisterhood, Number 1)",eng,https://images.gr-assets.com/books/1461611233m/452306.jpg
121,,"Vladimir Nabokov, Craig Raine",1955,Lolita,eng,https://images.gr-assets.com/books/1377756377m/7604.jpg
122,60987103,"Gregory Maguire, Douglas Smith",1995,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, Number 1)",eng,https://images.gr-assets.com/books/1437733293m/37442.jpg
123,582418275,John Grisham,1991,"The Firm (Penguin Readers, Level 5)",eng,https://images.gr-assets.com/books/1418465200m/5358.jpg
124,316098337,Emma Donoghue,2010,Room,eng,https://images.gr-assets.com/books/1344265419m/7937843.jpg
125,521618746,"William Shakespeare, Richard Andrews, Rex Gibson",1600,Hamlet,eng,https://images.gr-assets.com/books/1351051208m/1420.jpg
126,340839937,Frank Herbert,1965,Dune (Dune Chronicles Number 1),eng,https://images.gr-assets.com/books/1434908555m/234225.jpg
127,316346624,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,eng,https://images.gr-assets.com/books/1473396980m/2612.jpg
128,1451648537,Walter Isaacson,2011,Steve Jobs,eng,https://images.gr-assets.com/books/1327861368m/11084145.jpg
129,451163966,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,eng,https://images.gr-assets.com/books/1485308778m/332613.jpg
130,684830493,Ernest Hemingway,1952,The Old Man and the Sea,eng,https://images.gr-assets.com/books/1329189714m/2165.jpg
131,142000663,John Steinbeck,1939,The Grapes of Wrath,eng,https://images.gr-assets.com/books/1352912927m/4395.jpg
132,1401308589,Mitch Albom,2003,The Five People You Meet in Heaven,,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
133,451528824,L.M. Montgomery,1908,"Anne of Green Gables (Anne of Green Gables, Number 1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
134,1416914307,Cassandra Clare,2009,"City of Glass (The Mortal Instruments, Number 3)",en-US,https://images.gr-assets.com/books/1369452339m/3777732.jpg
135,055357342X,George R.R. Martin,2000,"A Storm of Swords (A Song of Ice and Fire, Number 3)",eng,https://images.gr-assets.com/books/1497931121m/62291.jpg
136,006075995X,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,en-US,https://images.gr-assets.com/books/1408313524m/137791.jpg
137,440242940,Diana Gabaldon,1991,"Outlander (Outlander, Number 1)",eng,https://images.gr-assets.com/books/1402600310m/10964.jpg
138,142437263,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,eng,https://images.gr-assets.com/books/1404810944m/12296.jpg
139,1594744769,Ransom Riggs,2011,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, Number 1)",en-US,https://images.gr-assets.com/books/1472782916m/9460487.jpg
140,030726999X,"Stieg Larsson, Reg Keeland",2007,"The Girl Who Kicked the Hornet's Nest (Millennium, Number 3)",en-US,https://images.gr-assets.com/books/1327708260m/6892870.jpg
141,804139024,Andy Weir,2012,The Martian,eng,https://images.gr-assets.com/books/1413706054m/18007564.jpg
142,451207149,Ken Follett,1989,"The Pillars of the Earth (The Kingsbridge Series, Number 1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
143,1476746583,Anthony Doerr,2014,All the Light We Cannot See,eng,https://images.gr-assets.com/books/1451445646m/18143977.jpg
144,1400064163,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",eng,https://images.gr-assets.com/books/1327861115m/8664353.jpg
145,671027387,Dan Brown,2001,Deception Point,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
146,316055433,Donna Tartt,2013,The Goldfinch,eng,https://images.gr-assets.com/books/1451554970m/17333223.jpg
147,1595141715,Jay Asher,2007,Thirteen Reasons Why,eng,https://images.gr-assets.com/books/1333822506m/1217100.jpg
148,452287022,Tracy Chevalier,1999,Girl with a Pearl Earring,eng,https://images.gr-assets.com/books/1327197580m/2865.jpg
149,525421033,Gayle Forman,2009,"If I Stay (If I Stay, Number 1)",en-US,https://images.gr-assets.com/books/1347462970m/4374400.jpg
150,312353766,Anita Diamant,1997,The Red Tent,en-US,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
151,786856866,Rick Riordan,2006,"The Sea of Monsters (Percy Jackson and the Olympians, Number 2)",eng,https://images.gr-assets.com/books/1400602661m/28186.jpg
152,446528056,Nicholas Sparks,2006,Dear John,en-US,https://images.gr-assets.com/books/1397749854m/5526.jpg
153,1416914293,Cassandra Clare,2008,"City of Ashes (The Mortal Instruments, Number 2)",eng,https://images.gr-assets.com/books/1432730356m/1582996.jpg
154,743477103,William Shakespeare,1606,Macbeth,eng,https://images.gr-assets.com/books/1459795224m/8852.jpg
155,618346260,J.R.R. Tolkien,1954,"The Two Towers (The Lord of the Rings, Number 2)",en-US,https://images.gr-assets.com/books/1298415523m/15241.jpg
156,031232118X,Emily Giffin,2004,"Something Borrowed (Darcy & Rachel, Number 1)",eng,https://images.gr-assets.com/books/1305063535m/42156.jpg
157,394800168,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,en-US,https://images.gr-assets.com/books/1468680100m/23772.jpg
158,142403881,"Roald Dahl, Quentin Blake",1964,"Charlie and the Chocolate Factory (Charlie Bucket, Number 1)",eng,https://images.gr-assets.com/books/1309211401m/6310.jpg
159,1423101464,Rick Riordan,2008,"The Battle of the Labyrinth (Percy Jackson and the Olympians, Number 4)",eng,https://images.gr-assets.com/books/1443142158m/2120932.jpg
160,192833596,Charles Dickens,1860,Great Expectations,eng,https://images.gr-assets.com/books/1327920219m/2623.jpg
161,345339738,J.R.R. Tolkien,1955,"The Return of the King (The Lord of the Rings, Number 3)",en-US,https://images.gr-assets.com/books/1389977161m/18512.jpg
162,,"Albert Camus, Matthew    Ward",1942,The Stranger,eng,https://images.gr-assets.com/books/1349927872m/49552.jpg
163,142311339X,Rick Riordan,2010,"The Lost Hero (The Heroes of Olympus, Number 1)",eng,https://images.gr-assets.com/books/1464201003m/7736182.jpg
164,1250012570,Rainbow Rowell,2013,Eleanor & Park,eng,https://images.gr-assets.com/books/1341952742m/15745753.jpg
165,055358202X,George R.R. Martin,2005,"A Feast for Crows (A Song of Ice and Fire, Number 4)",en-US,https://images.gr-assets.com/books/1429538615m/13497.jpg
166,525423648,Ally Condie,2010,"Matched (Matched, Number 1)",eng,https://images.gr-assets.com/books/1367706191m/7735333.jpg
167,747263744,Neil Gaiman,2001,"American Gods (American Gods, Number 1)",eng,https://images.gr-assets.com/books/1258417001m/4407.jpg
168,385199570,"Stephen King, Bernie Wrightson",1978,The Stand,en-US,https://images.gr-assets.com/books/1213131305m/149267.jpg
169,446547565,Nicholas Sparks,2008,The Last Song,en-GB,https://images.gr-assets.com/books/1286549186m/6400090.jpg
170,552151696,Dan Brown,1998,Digital Fortress,en-GB,https://images.gr-assets.com/books/1360095966m/11125.jpg
171,141439580,"Jane Austen, Fiona Stafford",1815,Emma,eng,https://images.gr-assets.com/books/1373627931m/6969.jpg
172,345803922,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Anna Karenina,eng,https://images.gr-assets.com/books/1352422904m/15823480.jpg
173,393312836,Anthony Burgess,1962,A Clockwork Orange,eng,https://images.gr-assets.com/books/1348339306m/227463.jpg
174,964729237,William Paul Young,2007,The Shack,eng,https://images.gr-assets.com/books/1344270232m/1812457.jpg
175,739380338,Rick Riordan,2009,"The Last Olympian (Percy Jackson and the Olympians, Number 5)",eng,https://images.gr-assets.com/books/1327924597m/4502507.jpg
176,451169514,Stephen King,1986,"It",en-US,https://images.gr-assets.com/books/1309376909m/18342.jpg
177,143058142,"Fyodor Dostoyevsky, David McDuff",1866,Crime and Punishment,eng,https://images.gr-assets.com/books/1382846449m/7144.jpg
178,61148512,Sylvia Plath,1963,The Bell Jar,en-US,https://images.gr-assets.com/books/1473890514m/6514.jpg
179,7205236,Frank McCourt,1996,"Angela's Ashes (Frank McCourt, Number 1)",eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
180,553208845,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,eng,https://images.gr-assets.com/books/1428715580m/52036.jpg
181,679745580,Truman Capote,1965,In Cold Blood,eng,https://images.gr-assets.com/books/1424931136m/168642.jpg
182,316042676,"Kami Garcia, Margaret Stohl",2009,"Beautiful Creatures (Caster Chronicles, Number 1)",eng,https://images.gr-assets.com/books/1327873282m/6304335.jpg
183,1416975861,Cassandra Clare,2010,"Clockwork Angel (The Infernal Devices, Number 1)",eng,https://images.gr-assets.com/books/1454962884m/7171637.jpg
184,141301066,"Roald Dahl, Quentin Blake",1988,Matilda,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
185,385534639,Erin Morgenstern,2011,The Night Circus,eng,https://images.gr-assets.com/books/1387124618m/9361589.jpg
186,743227441,Philippa Gregory,2001,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, Number 9)",eng,https://images.gr-assets.com/books/1355932638m/37470.jpg
187,689865384,Scott Westerfeld,2005,"Uglies (Uglies, Number 1)",eng,https://images.gr-assets.com/books/1443904172m/24770.jpg
188,,George R.R. Martin,2011,"A Dance with Dragons (A Song of Ice and Fire, Number 5)",eng,https://images.gr-assets.com/books/1327885335m/10664113.jpg
189,618640150,J.R.R. Tolkien,1955,"The Lord of the Rings (The Lord of the Rings, Number 1-3)",eng,https://images.gr-assets.com/books/1411114164m/33.jpg
190,307592731,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail,eng,https://images.gr-assets.com/books/1453189881m/12262741.jpg
191,930289234,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,en-US,https://images.gr-assets.com/books/1442239711m/472331.jpg
192,075640407X,Patrick Rothfuss,2007,"The Name of the Wind (The Kingkiller Chronicle, Number 1)",eng,https://images.gr-assets.com/books/1472068073m/186074.jpg
193,316017922,Malcolm Gladwell,2008,Outliers: The Story of Success,en-US,https://images.gr-assets.com/books/1344266315m/3228917.jpg
194,142437247,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby-Dick or, The Whale",eng,https://images.gr-assets.com/books/1327940656m/153747.jpg
195,385340990,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,eng,https://images.gr-assets.com/books/1351979318m/2728527.jpg
196,393327345,Chuck Palahniuk,1996,Fight Club,eng,https://images.gr-assets.com/books/1357128997m/5759.jpg
197,441008534,Charlaine Harris,2001,"Dead Until Dark (Sookie Stackhouse, Number 1)",en-US,https://images.gr-assets.com/books/1468560853m/301082.jpg
198,671727796,Alice Walker,1982,The Color Purple,eng,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png
199,739461192,John Grogan,2005,Marley and Me: Life and Love With the World's Worst Dog,eng,https://images.gr-assets.com/books/1308858322m/12691.jpg
200,312330871,Agatha Christie,1939,And Then There Were None,eng,https://images.gr-assets.com/books/1391120695m/16299.jpg
